¹¤µ¥¿ªÊ¼-20220524224239, 13183 u0_a156      10 -10  14G 233M 181M S 13.7   4.0   0:10.04 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224239, 13183 u0_a156      10 -10  14G 233M 181M S 13.3   4.0   0:10.04 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224239, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:10.08 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224239, 13183 u0_a156      10 -10  14G 234M 181M S  0.0   4.0   0:10.08 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224243, 13183 u0_a156      10 -10  14G 236M 182M S  6.2   4.0   0:10.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224243, 13183 u0_a156      10 -10  14G 236M 182M S  9.0   4.0   0:10.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224243, 13183 u0_a156      10 -10  14G 236M 182M S  9.3   4.0   0:10.23 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224243, 13183 u0_a156      10 -10  14G 236M 182M S  6.4   4.0   0:10.24 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224243, 13183 u0_a156      10 -10  14G 236M 182M S  6.4   4.0   0:10.24 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224246, 13183 u0_a156      10 -10  14G 247M 187M S  6.8   4.2   0:10.63 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224246, 13183 u0_a156      10 -10  14G 247M 187M S  6.6   4.2   0:10.63 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224246, 13183 u0_a156      10 -10  14G 247M 187M S  6.4   4.2   0:10.63 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224246, 13183 u0_a156      10 -10  14G 244M 185M S  3.2   4.2   0:10.65 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224246, 13183 u0_a156      10 -10  14G 245M 185M S  3.1   4.2   0:10.65 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224250, 13183 u0_a156      10 -10  14G 244M 184M S  0.0   4.2   0:10.68 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224250, 13183 u0_a156      10 -10  14G 244M 184M S  0.0   4.2   0:10.68 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224250, 13183 u0_a156      10 -10  14G 244M 184M S  0.0   4.2   0:10.68 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224250, 13183 u0_a156      10 -10  14G 244M 184M S  0.0   4.2   0:10.68 com.wisdom.min+
¹¤µ¥¿ªÊ¼-20220524224250, 13183 u0_a156      10 -10  14G 244M 184M S  0.0   4.2   0:10.68 com.wisdom.min+
